Player,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 1.0,Major Titles
s1mple,14329,0.432,10692,1.34,86.7,2,636,16747,0.86,0.1,0.64,0.08,0.11,1.25,0
coldzera,17579,0.48,13551,1.3,82,2.1,850,22137,0.79,0.11,0.61,0.08,0.1,1.18,2
XANTARES,13491,0.54,11478,1.18,94,3.5,613,16090,0.84,0.16,0.71,0.1,0.1,1.27,0
NiKo,17386,0.505,14289,1.22,86.2,3.4,819,21572,0.81,0.13,0.66,0.08,0.1,1.17,0
device,17238,0.335,13722,1.26,80.8,4,847,22016,0.78,0.12,0.62,0.08,0.09,1.17,3
oskar,14881,0.296,12578,1.18,79.6,2.8,737,19382,0.77,0.11,0.65,0.08,0.09,1.13,0
CeRq,9720,0.276,8201,1.19,75.4,2.2,499,13041,0.75,0.1,0.63,0.1,0.11,1.15,0
kennyS,15603,0.314,13074,1.19,75.6,3.3,783,20649,0.76,0.1,0.63,0.09,0.12,1.12,1
Twistzz,12709,0.601,10826,1.17,77.7,3.3,656,17106,0.74,0.12,0.63,0.1,0.13,1.14,0
Magisk,15672,0.485,13386,1.17,81.3,4.9,811,21248,0.74,0.14,0.63,0.09,0.1,1.11,2
HEN1,9724,0.267,8020,1.21,74.7,3.2,525,13605,0.71,0.12,0.59,0.08,0.1,1.1,0
electronic,11332,0.514,9949,1.14,83.8,4.2,571,15038,0.75,0.14,0.66,0.09,0.1,1.1,0
GuardiaN,14653,0.274,12548,1.17,72.9,2.6,768,20068,0.73,0.1,0.63,0.08,0.09,1.1,0
huNter,8968,0.494,7986,1.12,84.7,5.3,444,11764,0.76,0.15,0.68,0.1,0.11,1.17,0
Calyx,8831,0.556,7577,1.17,78,3.3,459,11998,0.74,0.12,0.63,0.09,0.1,1.13,0
valde,13674,0.455,12071,1.13,81.9,4.3,688,18190,0.75,0.14,0.66,0.1,0.11,1.14,0
JUGi,10205,0.28,8639,1.18,74.2,2.2,546,14166,0.72,0.1,0.61,0.08,0.1,1.13,0
autimatic,13980,0.468,12375,1.13,80.9,3.4,704,18410,0.76,0.13,0.67,0.1,0.1,1.09,1
tabseN,11935,0.474,11039,1.08,86.4,6.5,585,15507,0.77,0.15,0.71,0.09,0.09,1.09,0
Brehze,10891,0.524,9890,1.1,80,2.5,551,14513,0.75,0.12,0.68,0.11,0.12,1.08,0
k0nfig,15515,0.554,14312,1.08,81.4,2.3,785,20620,0.75,0.13,0.69,0.09,0.1,1.08,0
NAF,14612,0.412,12896,1.13,81.6,5.3,778,20116,0.73,0.16,0.64,0.1,0.11,1.08,0
fer,16353,0.445,14875,1.1,84.1,4.7,839,21862,0.75,0.16,0.68,0.09,0.08,1.08,2
WorldEdit,9985,0.257,8976,1.11,76.5,2.5,512,13404,0.74,0.11,0.67,0.08,0.08,1.08,0
dupreeh,16530,0.507,14688,1.13,79.3,2.7,867,22532,0.73,0.14,0.65,0.1,0.09,1.08,3
mertz,8730,0.333,7815,1.12,76.3,1.7,446,11802,0.74,0.09,0.66,0.1,0.1,1.12,0
ropz,9131,0.524,8006,1.14,77,2.3,490,12854,0.71,0.11,0.62,0.07,0.1,1.11,0
allu,14354,0.281,12718,1.13,74.9,3.4,744,19738,0.73,0.1,0.64,0.08,0.09,1.07,0
FalleN,15413,0.3,13315,1.16,72.4,3.1,850,22137,0.7,0.1,0.6,0.08,0.08,1.07,2
Ethan,10600,0.494,9786,1.08,82.7,4,541,14358,0.74,0.15,0.68,0.1,0.12,1.14,0
shox,14288,0.494,13043,1.1,79.4,2.3,733,19264,0.74,0.11,0.68,0.08,0.09,1.07,1
suNny,14528,0.469,13422,1.08,82.2,4.5,736,19514,0.74,0.14,0.69,0.09,0.09,1.06,0
draken,12840,0.307,11526,1.11,73.5,2,680,17919,0.72,0.1,0.64,0.08,0.08,1.06,0
f0rest,13826,0.509,12540,1.1,76.3,2.8,725,18892,0.73,0.11,0.66,0.09,0.1,1.06,1
mixwell,9769,0.385,8967,1.09,77.1,5.4,518,13495,0.72,0.13,0.66,0.1,0.1,1.12,0
jks,11698,0.522,10604,1.1,77.2,4.7,631,16614,0.7,0.12,0.64,0.09,0.11,1.06,0
paz,10193,0.499,9321,1.09,75,1.7,544,14240,0.72,0.12,0.65,0.1,0.1,1.1,0
cajunb,15846,0.389,14134,1.12,74.8,2.7,859,22511,0.7,0.12,0.63,0.09,0.1,1.06,0
EliGE,16007,0.483,14951,1.07,82.2,3.8,825,21652,0.74,0.16,0.69,0.11,0.12,1.06,0
MICHU,14783,0.518,13832,1.07,80.1,3.2,767,20032,0.74,0.13,0.69,0.09,0.1,1.06,0
rain,15942,0.56,14964,1.07,82.1,3,829,21799,0.73,0.15,0.69,0.1,0.09,1.06,0
twist,11952,0.401,11142,1.07,79.5,3.9,621,16410,0.73,0.13,0.68,0.09,0.09,1.05,0
ShahZaM,11263,0.34,10342,1.09,72.8,2.2,596,15731,0.72,0.1,0.66,0.09,0.1,1.05,0
ScreaM,13494,0.657,12582,1.07,79.3,2.8,710,18535,0.73,0.12,0.68,0.1,0.11,1.05,0
nex,11576,0.528,10707,1.08,79.6,4.7,603,16036,0.72,0.15,0.67,0.1,0.12,1.05,0
olofmeister,13530,0.481,12484,1.08,76.4,4.6,729,18928,0.71,0.13,0.66,0.09,0.09,1.05,2
syrsoN,8600,0.33,7928,1.08,73.5,2.1,452,12023,0.72,0.09,0.66,0.09,0.1,1.05,0
Xyp9x,15372,0.407,13806,1.11,77.4,6,872,22693,0.68,0.16,0.61,0.08,0.09,1.05,3
Kjaerbye,16544,0.536,15369,1.08,78.7,3.8,882,23114,0.72,0.15,0.66,0.1,0.11,1.04,1
snatchie,8950,0.294,8546,1.05,72.5,1.7,468,12443,0.72,0.09,0.69,0.09,0.09,1.06,0
shroud,8037,0.547,7408,1.08,75.5,3.9,441,11500,0.7,0.14,0.64,0.09,0.12,1.04,0
flamie,13573,0.542,12705,1.07,78.3,3.5,722,19054,0.71,0.14,0.67,0.09,0.1,1.04,0
mou,11688,0.272,10888,1.07,73.7,4,617,16459,0.71,0.11,0.66,0.08,0.09,1.04,1
Stewie2K,14578,0.504,13984,1.04,80.9,4.9,779,20244,0.72,0.14,0.69,0.1,0.08,1.04,1
koosta,10071,0.34,9592,1.05,74.5,3,533,14202,0.71,0.11,0.68,0.09,0.09,1.04,0
flusha,14263,0.416,13436,1.06,83.5,8.5,774,20205,0.71,0.17,0.66,0.09,0.09,1.04,3
Hobbit,9401,0.463,8868,1.06,78.5,5.1,495,13127,0.72,0.14,0.68,0.08,0.09,1.08,1
cadiaN,9070,0.282,8413,1.08,73.1,3.3,498,13099,0.69,0.1,0.64,0.09,0.08,1.03,0
REZ,12561,0.492,11858,1.06,78.4,3.4,674,17771,0.71,0.14,0.67,0.1,0.09,1.03,0
SHiPZ,8714,0.509,8409,1.04,77.3,2.9,455,11983,0.73,0.12,0.7,0.11,0.11,1.08,0
KRIMZ,13641,0.402,12732,1.07,76.7,3.6,750,19606,0.7,0.14,0.65,0.09,0.1,1.03,2
rallen,13812,0.42,12980,1.06,81.4,7,739,19505,0.71,0.16,0.67,0.09,0.09,1.03,0
boltz,11861,0.391,11120,1.07,80.8,8.3,649,16995,0.7,0.17,0.65,0.09,0.1,1.03,0
felps,9649,0.445,9417,1.02,82.8,3.2,507,13082,0.74,0.16,0.72,0.1,0.09,1.03,0
dennis,13284,0.543,12778,1.04,76.5,3.5,712,18580,0.71,0.12,0.69,0.1,0.1,1.03,0
tarik,14505,0.372,14039,1.03,77.8,2.7,790,20490,0.71,0.14,0.69,0.1,0.1,1.02,1
JW,14861,0.373,14464,1.03,77.2,4.1,796,20865,0.71,0.13,0.69,0.08,0.08,1.02,3
apEX,14395,0.533,14105,1.02,81.4,3.8,756,19950,0.72,0.15,0.71,0.1,0.09,1.02,1
COLDYY1,9287,0.554,8822,1.05,75.8,3.7,505,13297,0.7,0.12,0.66,0.09,0.11,1.02,0
Lekr0,11662,0.512,11199,1.04,76.3,3.4,635,16796,0.69,0.14,0.67,0.09,0.1,1.07,0
SZPERO,12644,0.312,12019,1.05,73.4,3.2,697,18151,0.7,0.11,0.66,0.08,0.08,1.02,0
Happy,13274,0.418,12631,1.05,77,2.4,714,18494,0.72,0.11,0.68,0.06,0.07,1.02,2
Skadoodle,11819,0.245,10763,1.1,67.2,2.7,702,18222,0.65,0.11,0.59,0.09,0.09,1.02,1
DavCost,9335,0.324,8897,1.05,73,2.8,515,13550,0.69,0.11,0.66,0.09,0.09,1.02,0
mouz,12963,0.505,12314,1.05,74.9,2.8,713,18756,0.69,0.13,0.66,0.1,0.11,1.02,0
SicK,9598,0.504,9303,1.03,76.4,2.2,516,13511,0.71,0.13,0.69,0.1,0.12,1.07,0
Snax,13444,0.369,13009,1.03,75.7,3.9,734,19170,0.7,0.12,0.68,0.08,0.08,1.02,1
AdreN,12162,0.494,11996,1.01,80.2,5.1,640,17057,0.71,0.15,0.7,0.08,0.08,1.02,1
bubble,15311,0.399,14547,1.05,76.2,4.6,845,22210,0.69,0.15,0.65,0.1,0.11,1.02,0
bondik,12049,0.48,11470,1.05,75,5.1,667,17572,0.69,0.14,0.65,0.1,0.11,1.02,0
GruBy,13823,0.434,13552,1.02,79.7,2.9,751,19800,0.7,0.15,0.68,0.09,0.11,1.01,0
RUSH,12808,0.47,12450,1.03,74.8,3.3,720,18600,0.69,0.15,0.67,0.11,0.11,1.01,1
jkaem,10500,0.513,10405,1.01,77.9,3.1,563,14948,0.7,0.14,0.7,0.11,0.11,1.01,0
niko,11176,0.481,10773,1.04,74.2,3.7,627,16354,0.68,0.13,0.66,0.1,0.11,1.06,0
es3tag,10964,0.36,10752,1.02,78.1,4.5,610,15861,0.69,0.15,0.68,0.1,0.1,1.01,0
gla1ve,13775,0.464,13344,1.03,76.8,5.8,779,20439,0.67,0.16,0.65,0.1,0.08,1.01,3
aizy,14759,0.525,14496,1.02,75.5,3.9,820,21654,0.68,0.13,0.67,0.09,0.1,1,0
GeT_RiGhT,13177,0.492,12898,1.02,78.1,4.2,731,19084,0.69,0.15,0.68,0.08,0.08,1,1
disco doplan,11155,0.44,10875,1.03,75.5,2.8,612,16217,0.69,0.13,0.67,0.09,0.1,1,0
MINISE,11276,0.428,11213,1.01,75.7,5.1,608,16177,0.7,0.12,0.69,0.08,0.07,1,0
reatz,8746,0.506,8678,1.01,73.8,2,474,12750,0.69,0.12,0.68,0.1,0.11,1.03,0
nitr0,14705,0.447,14444,1.02,73.6,4.9,827,21703,0.68,0.14,0.67,0.11,0.1,1,0
AZR,11569,0.518,11579,1,75.8,3.3,631,16614,0.7,0.13,0.7,0.11,0.11,1,0
innocent,8149,0.466,8167,1,77,4.8,453,11862,0.69,0.15,0.69,0.09,0.09,1,0
LETN1,7798,0.489,7543,1.03,72.4,3.4,444,11746,0.66,0.12,0.64,0.1,0.09,1.06,0
Nifty,9593,0.345,9563,1,69,2.9,542,14341,0.67,0.08,0.67,0.1,0.09,1.02,0
jdm64,10254,0.243,10072,1.02,69.6,3,587,15348,0.67,0.1,0.66,0.1,0.09,0.99,0
NBK-,13390,0.531,13409,1,78.3,3.3,750,19794,0.68,0.15,0.68,0.09,0.09,0.99,2
Furlan,16403,0.536,16665,0.98,77.4,4.2,905,23826,0.69,0.14,0.7,0.11,0.09,0.99,0
chrisJ,13812,0.423,13865,1,71.4,2.9,786,20716,0.67,0.11,0.67,0.1,0.08,0.99,0
ANDROID,8737,0.515,8763,1,74,2.8,487,12845,0.68,0.13,0.68,0.1,0.12,0.99,0
byali,12572,0.52,12576,1,77.1,3.3,696,18211,0.69,0.13,0.69,0.09,0.1,0.99,1
Hiko,8398,0.542,8272,1.02,70.6,4.7,497,13035,0.64,0.13,0.63,0.09,0.11,0.98,0
FugLy,12025,0.43,12008,1,73.1,3.3,695,18287,0.66,0.13,0.66,0.1,0.11,0.98,0
ALEX,10053,0.485,10389,0.97,76.5,2.6,540,14380,0.7,0.12,0.72,0.09,0.09,0.98,0
TENZKI,8875,0.52,8830,1.01,74.8,3.4,508,13320,0.67,0.14,0.66,0.09,0.1,0.98,0
v1c7oR,14744,0.463,15105,0.98,76.3,4.3,827,21749,0.68,0.16,0.69,0.12,0.1,0.98,0
ANGE1,14204,0.543,14941,0.95,81.4,4.7,786,20550,0.69,0.16,0.73,0.1,0.07,0.98,0
USTILO,8854,0.46,9226,0.96,76,2.2,495,13039,0.68,0.14,0.71,0.12,0.1,0.98,0
n0thing,8593,0.534,8762,0.98,74.1,5,490,12838,0.67,0.14,0.68,0.1,0.1,0.97,0
markeloff,7658,0.445,7703,0.99,74.5,5.1,439,11484,0.67,0.14,0.67,0.08,0.09,0.97,0
stanislaw,12109,0.484,12242,0.99,75,5.6,710,18489,0.65,0.14,0.66,0.1,0.09,0.97,0
RpK,13417,0.521,13896,0.97,73.5,2.2,767,19953,0.67,0.12,0.7,0.11,0.1,0.97,0
MODDII,14226,0.533,14394,0.99,74.1,3.6,825,21646,0.66,0.13,0.66,0.09,0.08,0.97,0
Spiidi,10162,0.402,10179,1,73.5,4.2,594,15775,0.64,0.14,0.65,0.09,0.1,0.97,0
tiziaN,8412,0.572,8576,0.98,73.4,4,481,12786,0.66,0.13,0.67,0.09,0.09,0.97,0
LUCAS1,9009,0.469,9198,0.98,76.2,3.4,525,13612,0.66,0.16,0.68,0.1,0.09,0.97,0
RUBINO,8807,0.524,9098,0.97,72.5,1.9,506,13195,0.67,0.13,0.69,0.1,0.09,0.97,0
kioShiMa,9632,0.495,9696,0.99,74.5,4.6,564,14786,0.65,0.14,0.66,0.08,0.09,0.97,2
pashaBiceps,13302,0.37,13823,0.96,72.4,4.3,750,19662,0.68,0.12,0.7,0.08,0.08,0.96,3
BARBARR,8853,0.436,9212,0.96,73.7,3.6,500,13317,0.66,0.13,0.69,0.09,0.09,0.96,0
freddieb,12031,0.528,12522,0.96,75.8,3.8,677,17937,0.67,0.14,0.7,0.09,0.09,0.96,0
Edward,12586,0.518,12885,0.98,72.3,2.9,726,19149,0.66,0.13,0.67,0.1,0.09,0.96,0
dephh,9430,0.478,10044,0.94,79.4,4.8,518,13699,0.69,0.15,0.73,0.11,0.09,1.04,0
STYKO,13137,0.572,13635,0.96,72.9,4.9,779,20471,0.64,0.14,0.67,0.1,0.09,0.96,0
Relyks,7654,0.526,8103,0.94,73.4,5.4,447,11504,0.67,0.12,0.7,0.1,0.1,0.96,0
TOAO,7530,0.467,7795,0.97,69.4,4.4,445,11778,0.64,0.11,0.66,0.09,0.09,1,0
phr,9528,0.551,9869,0.97,72.9,5.1,550,14531,0.66,0.13,0.68,0.1,0.1,1.01,0
to1nou,8723,0.296,9041,0.96,66.6,2.1,509,13534,0.64,0.09,0.67,0.09,0.09,0.95,0
Snappi,13783,0.436,14318,0.96,72.8,3.4,797,20951,0.66,0.13,0.68,0.1,0.09,0.95,0
bodyy,10598,0.556,11121,0.95,72,2.8,628,16555,0.64,0.13,0.67,0.11,0.09,0.95,0
MAJ3R,8016,0.483,8347,0.96,71.9,4.1,484,12590,0.64,0.13,0.66,0.08,0.07,0.94,0
DeadFox,10288,0.395,10842,0.95,68.9,3.4,625,16376,0.63,0.12,0.66,0.1,0.11,0.94,0
denis,13027,0.431,14135,0.92,75.7,2.8,730,19429,0.67,0.14,0.73,0.11,0.1,0.94,0
steel,8771,0.389,9292,0.94,70.5,2.8,528,13760,0.64,0.13,0.68,0.1,0.09,0.94,0
Ex6TenZ,9201,0.421,9860,0.93,74.6,3.9,546,14417,0.64,0.14,0.68,0.09,0.09,0.93,0
seized,8610,0.442,9174,0.94,72.7,5.5,508,13410,0.64,0.15,0.68,0.08,0.07,0.93,0
TACO,12349,0.499,12973,0.95,67.5,3.6,781,20166,0.61,0.12,0.64,0.09,0.07,0.93,2
Dima,8112,0.518,8962,0.91,75.8,3.6,468,12287,0.66,0.15,0.73,0.12,0.1,1.02,0
Dosia,10182,0.475,10965,0.93,73.2,5.4,596,15925,0.64,0.15,0.69,0.08,0.08,0.93,1
reltuC,8589,0.399,9177,0.94,72.1,3.5,515,13583,0.63,0.14,0.68,0.09,0.1,0.93,0
TaZ,12451,0.52,13471,0.92,69.1,2,746,19687,0.63,0.13,0.68,0.1,0.09,0.92,1
S0tF1k,8227,0.481,9062,0.91,72.8,4.6,493,12926,0.64,0.14,0.7,0.1,0.09,0.98,0
friberg,10217,0.459,11214,0.91,72.5,4.6,619,16167,0.63,0.15,0.69,0.1,0.1,0.92,1
Xizt,10985,0.454,11858,0.93,71.9,4.5,673,17605,0.62,0.15,0.67,0.11,0.1,0.92,1
AcilioN,10117,0.437,11125,0.91,70.8,3.7,616,16226,0.62,0.14,0.69,0.1,0.09,0.91,0
karrigan,14177,0.417,15777,0.9,67.9,4.6,892,23323,0.61,0.13,0.68,0.09,0.07,0.91,0
NEO,12455,0.362,13928,0.89,72.8,5.3,763,20004,0.62,0.15,0.7,0.09,0.08,0.91,1
ngiN,7642,0.439,8398,0.91,65.7,3.6,498,13027,0.59,0.13,0.64,0.1,0.09,0.95,0
kRYSTAL,8424,0.368,9616,0.88,67.5,4.5,542,14313,0.59,0.13,0.67,0.09,0.08,0.88,0
Zeus,11317,0.438,13003,0.87,69.6,5.4,717,19036,0.59,0.16,0.68,0.11,0.08,0.88,1
MSL,13452,0.407,15935,0.84,70.5,3.5,827,21781,0.62,0.15,0.73,0.12,0.09,0.87,0
daps,8849,0.393,10458,0.85,66,4.5,602,15671,0.56,0.15,0.67,0.11,0.08,0.86,0
gob b,9576,0.49,11409,0.84,66.7,5.9,635,16794,0.57,0.13,0.68,0.1,0.08,0.85,0
FNS,7974,0.461,9608,0.83,66.5,3.6,515,13732,0.58,0.14,0.7,0.1,0.07,0.85,0
HUNDEN,7762,0.492,10417,0.75,63.6,3.9,545,14458,0.54,0.14,0.72,0.11,0.08,0.78,0
